mmrrc_id	availability
71624	Currently Unavailable
71623	Currently Unavailable
71622	Currently Unavailable
71621	Currently Unavailable
71620	Currently Unavailable
71619	Currently Unavailable
71618	Currently Unavailable
71617	Currently Unavailable
71616	Currently Unavailable
71615	Currently Unavailable
71614	Currently Unavailable
71613	Currently Unavailable
71612	Currently Unavailable
71611	Currently Unavailable
71610	Currently Unavailable
71609	Currently Unavailable
71608	Currently Unavailable
71607	Currently Unavailable
71606	Currently Unavailable
71605	Currently Unavailable
71604	Currently Unavailable
71603	Currently Unavailable
71602	Currently Unavailable
71601	Cryo-archive
71600	Cryo-archive
71599	Currently Unavailable
71598	Currently Unavailable
71597	Currently Unavailable
71596	Currently Unavailable
71595	Currently Unavailable
71594	Currently Unavailable
71593	Currently Unavailable
71592	Currently Unavailable
71591	Currently Unavailable
71590	Currently Unavailable
71589	Currently Unavailable
71588	Cryo-archive
71587	Cryo-archive
71586	Cryo-archive
71585	Cryo-archive
71584	Cryo-archive
71583	Cryo-archive
71582	Cryo-archive
71581	Cryo-archive
71580	Cryo-archive
71579	Cryo-archive
71578	Cryo-archive
71577	Cryo-archive
71576	Cryo-archive
71575	Cryo-archive
71574	Cryo-archive
71573	Cryo-archive
71572	Cryo-archive
71571	Cryo-archive
71570	Cryo-archive
71569	Cryo-archive
71568	Cryo-archive
71567	Cryo-archive
71566	Cryo-archive
71565	Cryo-archive
71564	Cryo-archive
71563	Cryo-archive
71562	Cryo-archive
71561	Currently Unavailable
71560	Currently Unavailable
71559	Currently Unavailable
71558	Currently Unavailable
71557	Breeder pairs
71556	Currently Unavailable
71555	Currently Unavailable
71554	Currently Unavailable
71553	Currently Unavailable
71552	Currently Unavailable
71551	Currently Unavailable
71550	Currently Unavailable
71549	Currently Unavailable
71548	Breeder pairs
71547	Currently Unavailable
71546	Currently Unavailable
71545	Currently Unavailable
71544	Currently Unavailable
71543	Currently Unavailable
71542	Currently Unavailable
71541	Currently Unavailable
71540	Currently Unavailable
71539	Currently Unavailable
71538	Currently Unavailable
71537	Currently Unavailable
71536	Currently Unavailable
71535	Currently Unavailable
71534	Currently Unavailable
71533	Currently Unavailable
71532	Currently Unavailable
71531	Currently Unavailable
71530	Currently Unavailable
71529	Currently Unavailable
71528	Currently Unavailable
71527	Currently Unavailable
71526	Currently Unavailable
71525	Currently Unavailable
71524	Currently Unavailable
71523	Currently Unavailable
71522	Currently Unavailable
71521	Currently Unavailable
71520	Currently Unavailable
71519	Currently Unavailable
71518	Currently Unavailable
71517	Currently Unavailable
71516	Currently Unavailable
71515	Currently Unavailable
71514	Currently Unavailable
71513	Currently Unavailable
71512	Currently Unavailable
71511	Currently Unavailable
71510	Currently Unavailable
71509	Currently Unavailable
71508	Currently Unavailable
71507	Currently Unavailable
71506	Currently Unavailable
71505	Currently Unavailable
71504	Currently Unavailable
71503	Currently Unavailable
71502	Currently Unavailable
71501	Currently Unavailable
71500	Currently Unavailable
71499	Currently Unavailable
71498	Currently Unavailable
71497	Currently Unavailable
71496	Currently Unavailable
71495	Currently Unavailable
71494	Currently Unavailable
71493	Currently Unavailable
71492	Currently Unavailable
71491	Currently Unavailable
71490	Currently Unavailable
71489	Currently Unavailable
71488	Currently Unavailable
71487	Currently Unavailable
71486	Currently Unavailable
71485	Currently Unavailable
71484	Currently Unavailable
71483	Currently Unavailable
71482	Currently Unavailable
71481	Currently Unavailable
71480	Currently Unavailable
71479	Currently Unavailable
71478	Currently Unavailable
71477	Currently Unavailable
71476	Currently Unavailable
71475	Currently Unavailable
71474	Currently Unavailable
71473	Currently Unavailable
71472	Currently Unavailable
71471	Currently Unavailable
71470	Currently Unavailable
71469	Currently Unavailable
71468	Currently Unavailable
71467	Currently Unavailable
71466	Currently Unavailable
71465	Currently Unavailable
71464	Currently Unavailable
71463	Currently Unavailable
71462	Currently Unavailable
71461	Currently Unavailable
71460	Currently Unavailable
71459	Currently Unavailable
71458	Currently Unavailable
71457	Currently Unavailable
71456	Currently Unavailable
71455	Currently Unavailable
71454	Currently Unavailable
71453	Currently Unavailable
71452	Currently Unavailable
71451	Currently Unavailable
71450	Currently Unavailable
71449	Currently Unavailable
71448	Currently Unavailable
71447	Currently Unavailable
71446	Currently Unavailable
71445	Currently Unavailable
71444	Breeder pairs
71443	Breeder pairs
71442	Currently Unavailable
71441	Currently Unavailable
71440	Currently Unavailable
71439	Currently Unavailable
71438	iPS Cell Line
71437	iPS Cell Line
71436	iPS Cell Line
71435	iPS Cell Line
71434	iPS Cell Line
71433	iPS Cell Line
71432	iPS Cell Line
71431	iPS Cell Line
71430	iPS Cell Line
71429	iPS Cell Line
71428	iPS Cell Line
71427	iPS Cell Line
71426	iPS Cell Line
71425	iPS Cell Line
71424	iPS Cell Line
71423	iPS Cell Line
71422	iPS Cell Line
71421	iPS Cell Line
71420	iPS Cell Line
71419	iPS Cell Line
71418	iPS Cell Line
71417	iPS Cell Line
71416	iPS Cell Line
71415	Currently Unavailable
71414	Currently Unavailable
71413	Currently Unavailable
71412	Currently Unavailable
71411	Currently Unavailable
71410	Currently Unavailable
71409	Currently Unavailable
71408	Currently Unavailable
71407	Currently Unavailable
71406	Currently Unavailable
71405	Currently Unavailable
71404	Currently Unavailable
71403	Currently Unavailable
71402	Currently Unavailable
71401	Currently Unavailable
71400	Breeder pairs
71399	Breeder pairs
71398	Breeder pairs
71397	Breeder pairs
71396	Currently Unavailable
71395	Breeder pairs
71394	Breeder pairs
71393	Cryo-archive
71392	Currently Unavailable
71391	Breeder pairs
71390	Breeder pairs
71389	Breeder pairs
71388	Breeder pairs
71387	Breeder pairs
71386	Breeder pairs
71385	Currently Unavailable
71384	Breeder pairs
71383	Currently Unavailable
71382	Currently Unavailable
71381	Currently Unavailable
71380	Currently Unavailable
71379	Currently Unavailable
71378	Breeder pairs
71377	Breeder pairs
71376	Currently Unavailable
71375	Breeder pairs
71374	Breeder pairs
71373	Currently Unavailable
71372	Currently Unavailable
71371	Currently Unavailable
71370	Cryo-archive
71369	Cryo-archive
71368	Cryo-archive
71367	Cryo-archive
71366	Cryo-archive
71365	Cryo-archive
71364	Cryo-archive
71363	Cryo-archive
71362	Cryo-archive
71361	Cryo-archive
71360	Cryo-archive
71359	Cryo-archive
71358	Cryo-archive
71357	Cryo-archive
71356	Cryo-archive
71355	Cryo-archive
71354	Cryo-archive
71353	Cryo-archive
71352	Cryo-archive
71351	Cryo-archive
71350	Cryo-archive
71349	Cryo-archive
71348	Cryo-archive
71347	Cryo-archive
71346	Cryo-archive
71345	Cryo-archive
71344	Hidden
71343	Cryo-archive
71342	Cryo-archive
71341	Cryo-archive
71340	Cryo-archive
71339	Cryo-archive
71338	Cryo-archive
71337	Cryo-archive
71336	Cryo-archive
71335	Cryo-archive
71334	Cryo-archive
71333	Cryo-archive
71332	Cryo-archive
71331	Cryo-archive
71330	Cryo-archive
71329	Cryo-archive
71328	Cryo-archive
71327	Cryo-archive
71326	Cryo-archive
71325	Cryo-archive
71324	Cryo-archive
71323	Cryo-archive
71322	Breeder pairs
71321	Currently Unavailable
71320	Currently Unavailable
71319	Currently Unavailable
71318	Currently Unavailable
71317	Breeder pairs
71316	Cryo-archive
71315	Breeder pairs
71314	Cryo-archive
71313	Cryo-archive
71312	Breeder pairs
71311	Cryo-archive
71310	Breeder pairs
71309	Currently Unavailable
71308	Currently Unavailable
71307	Currently Unavailable
71306	Currently Unavailable
71305	Currently Unavailable
71304	Breeder pairs
71303	Cryo-archive
71302	Breeder pairs
71301	Breeder pairs
71300	Cryo-archive
71299	Cryo-archive
71298	Cryo-archive
71297	Cryo-archive
71296	Breeder pairs
71295	Cryo-archive
71294	Breeder pairs
71293	Cryo-archive
71292	Cryo-archive
71291	Cryo-archive
71290	Cryo-archive
71289	Currently Unavailable
71288	Currently Unavailable
71287	Cryo-archive
71286	Currently Unavailable
71285	Cryo-archive
71284	Cryo-archive
71283	Breeder pairs
71282	Cryo-archive
71281	Cryo-archive
71280	Cryo-archive
71279	Cryo-archive
71278	Cryo-archive
71277	Cryo-archive
71276	Breeder pairs
71275	Breeder pairs
71274	Cryo-archive
71273	Cryo-archive
71272	Cryo-archive
71271	Cryo-archive
71270	Cryo-archive
71269	Cryo-archive
71268	Cryo-archive
71267	Cryo-archive
71266	Cryo-archive
71265	Cryo-archive
71264	Cryo-archive
71263	Cryo-archive
71262	Cryo-archive
71261	Cryo-archive
71260	Cryo-archive
71259	Cryo-archive
71258	Cryo-archive
71257	Cryo-archive
71256	Cryo-archive
71255	Cryo-archive
71254	Cryo-archive
71253	Cryo-archive
71252	Cryo-archive
71251	Cryo-archive
71250	Cryo-archive
71249	Currently Unavailable
71248	Currently Unavailable
71247	Cryo-archive
71246	Cryo-archive
71245	Cryo-archive
71244	Cryo-archive
71243	Cryo-archive
71242	Cryo-archive
71241	Cryo-archive
71240	Cryo-archive
71239	Cryo-archive
71238	Cryo-archive
71237	Cryo-archive
71236	Cryo-archive
71235	Cryo-archive
71234	Cryo-archive
71233	Cryo-archive
71232	Cryo-archive
71231	Cryo-archive
71230	Cryo-archive
71229	Cryo-archive
71228	Cryo-archive
71227	Cryo-archive
71226	Cryo-archive
71225	Cryo-archive
71224	Cryo-archive
71223	Cryo-archive
71222	Cryo-archive
71221	Cryo-archive
71220	Cryo-archive
71219	Cryo-archive
71218	Cryo-archive
71217	Cryo-archive
71216	Cryo-archive
71215	Cryo-archive
71214	Cryo-archive
71213	Cryo-archive
71212	Cryo-archive
71211	Cryo-archive
71210	Cryo-archive
71209	Cryo-archive
71208	Cryo-archive
71207	Cryo-archive
71206	Cryo-archive
71205	Cryo-archive
71204	Cryo-archive
71203	Cryo-archive
71202	Cryo-archive
71201	Cryo-archive
71200	Cryo-archive
71199	Cryo-archive
71198	Cryo-archive
71197	Cryo-archive
71196	Cryo-archive
71195	Cryo-archive
71194	Cryo-archive
71193	Cryo-archive
71192	Cryo-archive
71191	Cryo-archive
71190	Cryo-archive
71189	Cryo-archive
71188	Cryo-archive
71187	Cryo-archive
71186	Cryo-archive
71185	Cryo-archive
71184	Cryo-archive
71183	Cryo-archive
71182	Cryo-archive
71181	Cryo-archive
71180	Cryo-archive
71179	Cryo-archive
71178	Cryo-archive
71177	Cryo-archive
71176	Cryo-archive
71175	Cryo-archive
71174	Cryo-archive
71173	Cryo-archive
71172	Cryo-archive
71171	Cryo-archive
71170	Cryo-archive
71169	Cryo-archive
71168	Cryo-archive
71167	Cryo-archive
71166	Cryo-archive
71165	Cryo-archive
71164	Cryo-archive
71163	Cryo-archive
71162	Cryo-archive
71161	Cryo-archive
71160	Cryo-archive
71159	Cryo-archive
71158	Cryo-archive
71157	Cryo-archive
71156	Cryo-archive
71155	Cryo-archive
71154	Cryo-archive
71153	Cryo-archive
71152	Cryo-archive
71151	Cryo-archive
71150	Cryo-archive
71149	Cryo-archive
71148	Cryo-archive
71147	Cryo-archive
71146	Cryo-archive
71145	Cryo-archive
71144	Cryo-archive
71143	Cryo-archive
71142	Cryo-archive
71141	Cryo-archive
71140	Cryo-archive
71139	Cryo-archive
71138	Cryo-archive
71137	Cryo-archive
71136	Cryo-archive
71135	Cryo-archive
71134	Cryo-archive
71133	Cryo-archive
71132	Cryo-archive
71131	Cryo-archive
71130	Cryo-archive
71129	Cryo-archive
71128	Cryo-archive
71127	Cryo-archive
71126	Cryo-archive
71125	Cryo-archive
71124	Cryo-archive
71123	Cryo-archive
71122	Cryo-archive
71121	Cryo-archive
71120	Cryo-archive
71119	Cryo-archive
71118	Cryo-archive
71117	Cryo-archive
71116	Cryo-archive
71115	Cryo-archive
71114	Cryo-archive
71113	Cryo-archive
71112	Cryo-archive
71111	Cryo-archive
71110	Cryo-archive
71109	Cryo-archive
71108	Cryo-archive
71107	Cryo-archive
71106	Cryo-archive
71105	Cryo-archive
71104	Cryo-archive
71103	Cryo-archive
71102	Cryo-archive
71101	Cryo-archive
71100	Cryo-archive
71099	Cryo-archive
71098	Cryo-archive
71097	Cryo-archive
71096	Cryo-archive
71095	Cryo-archive
71094	Cryo-archive
71093	Cryo-archive
71092	Cryo-archive
71091	Cryo-archive
71090	Cryo-archive
71089	Cryo-archive
71088	Cryo-archive
71087	Cryo-archive
71086	Cryo-archive
71085	Cryo-archive
71084	Cryo-archive
71083	Cryo-archive
71082	Cryo-archive
71081	Cryo-archive
71080	Cryo-archive
71079	Cryo-archive
71078	Cryo-archive
71077	Cryo-archive
71076	Cryo-archive
71075	Cryo-archive
71074	Cryo-archive
71073	Cryo-archive
71072	Cryo-archive
71071	Cryo-archive
71070	Cryo-archive
71069	Cryo-archive
71068	Cryo-archive
71067	Cryo-archive
71066	Cryo-archive
71065	Cryo-archive
71064	Cryo-archive
71063	Cryo-archive
71062	Cryo-archive
71061	Cryo-archive
71060	Cryo-archive
71059	Cryo-archive
71058	Cryo-archive
71057	Cryo-archive
71056	Cryo-archive
71055	Cryo-archive
71054	Cryo-archive
71053	Cryo-archive
71052	Cryo-archive
71051	Cryo-archive
71050	Cryo-archive
71049	Cryo-archive
71048	Cryo-archive
71047	Cryo-archive
71046	Cryo-archive
71045	Cryo-archive
71044	Cryo-archive
71043	Cryo-archive
71042	Cryo-archive
71041	Cryo-archive
71040	Cryo-archive
71039	Cryo-archive
71038	Cryo-archive
71037	Cryo-archive
71036	Cryo-archive
71035	Cryo-archive
71034	Cryo-archive
71033	Cryo-archive
71032	Cryo-archive
71031	Cryo-archive
71030	Cryo-archive
71029	Cryo-archive
71028	Cryo-archive
71027	Cryo-archive
71026	Cryo-archive
71025	Cryo-archive
71024	Cryo-archive
71023	Cryo-archive
71022	Cryo-archive
71021	Cryo-archive
71020	Cryo-archive
71019	Cryo-archive
71018	Cryo-archive
71017	Cryo-archive
71016	Cryo-archive
71015	Cryo-archive
71014	Cryo-archive
71013	Cryo-archive
71012	Cryo-archive
71011	Cryo-archive
71010	Cryo-archive
71009	Cryo-archive
71008	Cryo-archive
71007	Cryo-archive
71006	Cryo-archive
71005	Cryo-archive
71004	Cryo-archive
71003	Cryo-archive
71002	Cryo-archive
71001	Cryo-archive
71000	Cryo-archive
70999	Cryo-archive
70998	Cryo-archive
70997	Cryo-archive
70996	Cryo-archive
70995	Cryo-archive
70994	Cryo-archive
70993	Cryo-archive
70992	Cryo-archive
70991	Cryo-archive
70990	Cryo-archive
70989	Cryo-archive
70988	Cryo-archive
70987	Cryo-archive
70986	Cryo-archive
70985	Cryo-archive
70984	Cryo-archive
70983	Cryo-archive
70982	Cryo-archive
70981	Cryo-archive
70980	Cryo-archive
70979	Cryo-archive
70978	Cryo-archive
70977	Currently Unavailable
70976	Currently Unavailable
70975	Currently Unavailable
70974	Currently Unavailable
70973	Breeder pairs
70972	Cryo-archive
70971	Cryo-archive
70970	Cryo-archive
70969	Cryo-archive
70968	Currently Unavailable
70967	Currently Unavailable
70966	Currently Unavailable
70965	Cryo-archive
70964	Breeder pairs
70963	Cryo-archive
70962	Breeder pairs
70961	Currently Unavailable
70960	Cryo-archive
70959	Breeder pairs
70958	Breeder pairs
70957	Cryo-archive
70956	Cryo-archive
70955	Currently Unavailable
70954	Cryo-archive
70953	Breeder pairs
70952	Cryo-archive
70951	Currently Unavailable
70950	Currently Unavailable
70949	Currently Unavailable
70948	Currently Unavailable
70947	Currently Unavailable
70946	Currently Unavailable
70945	Currently Unavailable
70944	Currently Unavailable
70943	Currently Unavailable
70942	Currently Unavailable
70941	Currently Unavailable
70940	Currently Unavailable
70939	Currently Unavailable
70938	Currently Unavailable
70937	Currently Unavailable
70936	Currently Unavailable
70935	Currently Unavailable
70934	Currently Unavailable
70933	Currently Unavailable
70932	Currently Unavailable
70931	Currently Unavailable
70930	Currently Unavailable
70929	Currently Unavailable
70928	Currently Unavailable
70927	Currently Unavailable
70926	Currently Unavailable
70925	Currently Unavailable
70924	Currently Unavailable
70923	Currently Unavailable
70922	Currently Unavailable
70921	Currently Unavailable
70920	Currently Unavailable
70919	Currently Unavailable
70918	Currently Unavailable
70917	Currently Unavailable
70916	Currently Unavailable
70915	Currently Unavailable
70914	Currently Unavailable
70913	Currently Unavailable
70912	Currently Unavailable
70911	Currently Unavailable
70910	Currently Unavailable
70909	Currently Unavailable
70908	Currently Unavailable
70907	Currently Unavailable
70906	Currently Unavailable
70905	Currently Unavailable
70904	Currently Unavailable
70903	Currently Unavailable
70902	Currently Unavailable
70901	Currently Unavailable
70900	Currently Unavailable
70899	Currently Unavailable
70898	Currently Unavailable
70897	Currently Unavailable
70896	Currently Unavailable
70895	Currently Unavailable
70894	Currently Unavailable
70893	Currently Unavailable
70892	Currently Unavailable
70891	Currently Unavailable
70890	Currently Unavailable
70889	Currently Unavailable
70888	Currently Unavailable
70887	Currently Unavailable
70886	Currently Unavailable
70885	Currently Unavailable
70884	Currently Unavailable
70883	Currently Unavailable
70882	Currently Unavailable
70881	Currently Unavailable
70880	Currently Unavailable
70879	Currently Unavailable
70878	Currently Unavailable
70877	Currently Unavailable
70876	Currently Unavailable
70875	Currently Unavailable
70874	Currently Unavailable
70873	Currently Unavailable
70872	Currently Unavailable
70871	Currently Unavailable
