mmrrc_id,availability,sds_status,public_display
57896,ES cell line,QC,Yes
66332,Hybridoma cell line,Complete,Yes
37297,Hidden,N/A,No
3721,ES cell line,Complete,Yes
51041,Currently Unavailable,In Progress,No
2833,ES cell line,Complete,Yes
29289,ES cell line,Complete,Yes
56784,ES cell line,QC,Yes
49888,Cryo-archive,QC,Yes
23684,ES cell line,Complete,Yes
24141,ES cell line,Complete,Yes
59471,ES cell line,QC,Yes
42397,Cryo-archive,In Progress,Yes
13232,ES cell line,Complete,Yes
45452,Currently Unavailable,In Progress,No
22996,ES cell line,Complete,Yes
38162,Hidden,Complete,Yes
47195,Cryo-archive,QC,Yes
729,ES cell line,Complete,Yes
40650,Cryo-archive,Complete,Yes
38498,Cryo-archive,Complete,Yes
41942,Cryo-archive,Complete,Yes
26486,ES cell line,Complete,Yes
21343,ES cell line,Complete,Yes
54243,ES cell line,QC,Yes
29773,ES cell line,Complete,Yes
53586,ES cell line,QC,Yes
34842,Cryo-archive,Complete,Yes
63130,ES cell line,QC,Yes
35750,ES cell line,Complete,Yes
48260,Cryo-archive,QC,Yes
28861,ES cell line,Complete,Yes
32095,Cryo-archive,QC,Yes
6523,ES cell line,Complete,Yes
51411,ES cell line,QC,Yes
67870,Currently Unavailable,In Progress,No
30102,Cryo-archive,Complete,Yes
66762,Cryo-archive,Complete,Yes
6489,ES cell line,Complete,Yes
3371,ES cell line,Complete,Yes
683,ES cell line,Complete,Yes
69497,Currently Unavailable,In Progress,No
38532,Cryo-archive,Complete,Yes
45002,Currently Unavailable,In Progress,No
13662,Hidden,Complete,No
12970,ES cell line,Complete,Yes
59021,ES cell line,QC,Yes
24511,ES cell line,Complete,Yes
21713,ES cell line,Complete,Yes
20801,ES cell line,Complete,Yes
40200,Cryo-archive,Complete,Yes
16460,ES cell line,Complete,Yes
9286,ES cell line,Complete,Yes
13398,ES cell line,Complete,Yes
48630,Cryo-archive,QC,Yes
35300,ES cell line,Complete,Yes
63560,ES cell line,QC,Yes
66298,Hybridoma cell line,Complete,Yes
55901,ES cell line,QC,Yes
19795,ES cell line,Complete,Yes
6173,ES cell line,Complete,Yes
18887,ES cell line,Complete,Yes
29323,ES cell line,Complete,Yes
2999,ES cell line,Complete,Yes
54613,ES cell line,QC,Yes
49922,Cryo-archive,QC,Yes
51942,ES cell line,QC,Yes
36486,Cryo-archive,QC,Yes
2130,ES cell line,Complete,Yes
31343,Hidden,Complete,No
67523,Currently Unavailable,In Progress,No
57195,ES cell line,QC,Yes
50650,Cryo-archive,Complete,Yes
28498,ES cell line,Complete,Yes
58260,ES cell line,QC,Yes
25750,ES cell line,Complete,Yes
22095,ES cell line,Complete,Yes
38861,Cryo-archive,Complete,Yes
39773,Cryo-archive,Complete,Yes
44243,Cryo-archive,Complete,Yes
12423,ES cell line,Complete,Yes
43586,Cryo-archive,Complete,Yes
24842,ES cell line,Complete,Yes
41041,Cryo-archive,Complete,Yes
17621,ES cell line,Complete,Yes
39289,Cryo-archive,Complete,Yes
46784,Cryo-archive,QC,Yes
59888,ES cell line,QC,Yes
47896,Cryo-archive,QC,Yes
20552,ES cell line,Complete,Yes
27297,ES cell line,Complete,Yes
16933,ES cell line,Complete,Yes
63833,ES cell line,QC,Yes
52397,ES cell line,QC,Yes
28162,ES cell line,Complete,Yes
55452,ES cell line,QC,Yes
33684,missing,Complete,No
7332,ES cell line,Complete,Yes
49471,Cryo-archive,QC,Yes
34141,missing,Complete,No
62721,ES cell line,QC,Yes
30801,Cryo-archive,Complete,Yes
63999,ES cell line,QC,Yes
50200,Cryo-archive,QC,Yes
7298,ES cell line,Complete,Yes
2560,ES cell line,Complete,Yes
67173,Cryo-archive,Complete,Yes
12073,ES cell line,Complete,Yes
44613,Currently Unavailable,In Progress,No
39323,Cryo-archive,Complete,Yes
68286,Cryo-archive,N/A,Yes
59922,ES cell line,QC,Yes
25300,ES cell line,Complete,Yes
58630,ES cell line,QC,Yes
45901,Currently Unavailable,In Progress,No
16899,ES cell line,Complete,Yes
20102,ES cell line,Complete,Yes
41411,Hidden,N/A,No
12589,ES cell line,Complete,Yes
8497,ES cell line,Complete,Yes
18184,ES cell line,Complete,Yes
7762,ES cell line,Complete,Yes
62371,ES cell line,QC,Yes
34511,ES cell line,Complete,Yes
49021,Cryo-archive,QC,Yes
67489,Currently Unavailable,In Progress,No
55002,ES cell line,QC,Yes
28532,ES cell line,Complete,Yes
6870,ES cell line,Complete,Yes
68269,Cryo-archive,N/A,Yes
15759,ES cell line,Complete,Yes
43139,Cryo-archive,Complete,Yes
17764,ES cell line,Complete,Yes
41104,Cryo-archive,Complete,Yes
8182,ES cell line,Complete,Yes
16876,ES cell line,Complete,Yes
20417,ES cell line,Complete,Yes
55517,ES cell line,QC,Yes
28027,ES cell line,Complete,Yes
63976,ES cell line,QC,Yes
62664,ES cell line,QC,Yes
34004,missing,Complete,No
49534,Cryo-archive,QC,Yes
18491,ES cell line,Complete,Yes
60659,ES cell line,QC,Yes
7277,ES cell line,Complete,Yes
36039,Cryo-archive,Complete,Yes
67466,Currently Unavailable,In Progress,No
31206,ES cell line,Complete,Yes
51807,ES cell line,QC,Yes
2075,ES cell line,Complete,Yes
50715,Cryo-archive,Complete,Yes
52728,ES cell line,QC,Yes
