Mouse gene name	Gene name
mt-Nd1	MT-ND1
mt-Nd2	MT-ND2
mt-Co1	MT-CO1
mt-Co2	MT-CO2
mt-Atp8	MT-ATP8
mt-Atp6	MT-ATP6
mt-Co3	MT-CO3
mt-Nd3	MT-ND3
mt-Nd4l	MT-ND4L
mt-Nd4	MT-ND4
mt-Nd5	MT-ND5
mt-Nd6	MT-ND6
mt-Cytb	MT-CYB
Gm22866	U1
Frg1	
Prodh	
Tekt4	MAFIP
Gm55073	RNA5-8SN5
Gm54867	5_8S_rRNA
Dgcr6	
Gm56421	
Mrpl23	
Ighv2-6-8	
Ighv3-5	
Ighv2-4	
Ighv2-9	
Ighv2-3	
Ighv3-4	
Ighv2-2	
Ighv3-6	
Ighv3-3	
Ighv2-7	
Ighv3-1	
Ighv3-8	
Ighv12-3	
Ighv2-6	
Ighv2-9-1	
Ighv2-5	
Gm56420	
Slc6a8	
Usp9y	USP9Y
Gm29289	RBMY1D
Gm21704	RBMY1D
Gm21693	RBMY1D
Gm21708	RBMY1D
Gm10352	RBMY1D
Gm4064	RBMY1D
Gm10256	RBMY1D
Rbmy	RBMY1D
Gm21677	RBMY1D
Gm3376	RBMY1D
Hsfy2	HSFY2
Kdm5d	KDM5D
Hsfy2	HSFY1
Tgif2lx2	TGIF2LY
Tgif2lx1	TGIF2LY
Gm29289	RBMY1F
Gm21704	RBMY1F
Gm21693	RBMY1F
Gm21708	RBMY1F
Gm10352	RBMY1F
Gm4064	RBMY1F
Gm10256	RBMY1F
Rbmy	RBMY1F
Gm21677	RBMY1F
Gm3376	RBMY1F
Gm24379	Y_RNA
Gm22578	RNU6-941P
Gm23790	RNU6-941P
Sry	SRY
Ddx3y	DDX3Y
Uty	UTY
Tmsb4x	TMSB4Y
Gm22362	SNORA70
Tbl1x	TBL1Y
Gm29289	RBMY1E
Gm21704	RBMY1E
Gm21693	RBMY1E
Gm21708	RBMY1E
Gm10352	RBMY1E
Gm4064	RBMY1E
Gm10256	RBMY1E
Rbmy	RBMY1E
Gm21677	RBMY1E
Gm3376	RBMY1E
	NLGN4Y
Gm22362	SNORA70
Pcdh11x	PCDH11Y
Gm29289	RBMY1J
Gm21704	RBMY1J
Gm21693	RBMY1J
Gm21708	RBMY1J
Gm10352	RBMY1J
Gm4064	RBMY1J
Gm10256	RBMY1J
Rbmy	RBMY1J
Gm21677	RBMY1J
Gm3376	RBMY1J
Gm29289	RBMY1B
Gm21704	RBMY1B
Gm21693	RBMY1B
Gm21708	RBMY1B
Gm10352	RBMY1B
Gm4064	RBMY1B
Gm10256	RBMY1B
Rbmy	RBMY1B
Gm21677	RBMY1B
Gm3376	RBMY1B
Gm29289	RBMY1A1
Gm21704	RBMY1A1
Gm21693	RBMY1A1
Gm21708	RBMY1A1
Gm10352	RBMY1A1
Gm4064	RBMY1A1
Gm10256	RBMY1A1
Rbmy	RBMY1A1
Gm21677	RBMY1A1
Gm3376	RBMY1A1
Tmprss15	TMPRSS15
Gm1123	CXADR
Parp4	PARP4
Mipep	MIPEP
Urb1	URB1
Katnal1	KATNAL1
Jam2	JAM2
Uspl1	USPL1
Cldn17	CLDN17
Cyyr1	CYYR1
Mrps6	MRPS6
Kpna3	KPNA3
Krtap24-1	KRTAP24-1
Slc5a3	SLC5A3
Chaf1b	CHAF1B
Cryl1	CRYL1
Scaf4	SCAF4
Cab39l	CAB39L
Dnajc15	DNAJC15
Gpr12	GPR12
Ncam2	NCAM2
Wasf3	WASF3
Cldn8	CLDN8
Fam243	C21orf140
Hunk	HUNK
D16Ertd472e	C21orf91
Postn	POSTN
Morc3	MORC3
Paxbp1	PAXBP1
4932438H23Rik	C21orf62
Itsn1	ITSN1
Fndc3a	FNDC3A
Colec12	COLEC12
Impa2	IMPA2
Lhfpl6	LHFPL6
Rab31	RAB31
Akap11	AKAP11
Mzt1	MZT1
Proser1	PROSER1
Erich6b	ERICH6B
Pibf1	PIBF1
Yes1	YES1
Bora	BORA
Klhl14	KLHL14
Klhl1	KLHL1
Gtf3a	GTF3A
Ndufv2	NDUFV2
Elf1	ELF1
Mppe1	MPPE1
Scel	SCEL
Frem2	FREM2
Tbc1d4	TBC1D4
Celf4	CELF4
Spry2	SPRY2
Ufm1	UFM1
Klf5	KLF5
Cby2	CBY2
Ubac2	UBAC2
Rfc3	RFC3
Akain1	AKAIN1
Slc14a2	SLC14A2
Pou4f1	POU4F1
Spata13	SPATA13
Ralbp1	RALBP1
Ss18	SS18
Cldn14	CLDN14
Atp5po	ATP5PO
Nhlrc3	NHLRC3
Chodl	CHODL
Olfm4	OLFM4
Ipo5	IPO5
S100b	S100B
Bach1	BACH1
Ets2	ETS2
Ankrd12	ANKRD12
Ark2n	ARK2N
Kcnj15	KCNJ15
Ska1	SKA1
Diaph3	DIAPH3
Rprd1a	RPRD1A
Cryzl1	CRYZL1
Rit2	RIT2
Mia2	CTAGE1
Hrh4	HRH4
Rbbp8	RBBP8
N6amt1	N6AMT1
Adamts5	ADAMTS5
Gm22866	U1
Gm24787	SNORA70
Gm54681	RN7SKP147
Cct8l1	CCT8L2
Gm22946	RNU2-55P
Gm56427	RNU4-45P
Mir155	MIR155
Gm23056	RNU6-614P
Gm24878	U6
Gm24839	U6
Gm23127	SNORA80A
C2cd2	C2CD2
Ttc39c	TTC39C
Pcdh17	PCDH17
Usp12	USP12
Mapk4	MAPK4
Zbtb21	ZBTB21
Wbp4	WBP4
Ark2c	ARK2C
Med15	MED15
Sertm1	SERTM1
Cbr1	CBR1
Gm5678	CBR1
Slc7a1	SLC7A1
St8sia3	ST8SIA3
Rnf152	RNF152
Cbr3	CBR3
Ccdc68	CCDC68
Slc15a1	SLC15A1
Runx1	RUNX1
Smad2	SMAD2
Eva1c	EVA1C
Gm26326	
Foxo1	FOXO1
Cfap298	CFAP298
Rab27b	RAB27B
Cog3	COG3
Txnl1	TXNL1
Lrch1	LRCH1
Ctif	CTIF
Tcp10a	TCP10L
Tcp10c	TCP10L
Tcp10b	TCP10L
Osm	OSM
Btg3	BTG3
Drg1	DRG1
Cdadc1	CDADC1
Garem1	GAREM1
Sumo3	SUMO3
Dis3	DIS3
Mrpl39	MRPL39
Zbtb7c	ZBTB7C
Hormad2	HORMAD2
Samsn1	SAMSN1
Ncf4	NCF4
Smim11	SMIM11
Bod1	BOD1L2
Fbxo15	FBXO15
Sim2	SIM2
Cog6	COG6
Slc25a51	SLC25A52
Ripply3	RIPPLY3
